Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Battery_Cell,
"C1, C2, C3, C4, C8",0402,5,100nF,
"C5, C6, C7",0805,3,10µF,
D1,0402,1,LEDGREEN,
D2,0402,1,LEDRED,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
JDISPLAY1,PinHeader_1x14_P2.54mm_Vertical,1,Conn_01x14,
LS1,PinHeader_1x02_P2.54mm_Vertical,1,Speaker,
Q1,SOT-23,1,S8050,
"R1, R2",0402,2,1k,
"R10, R9",0402,2,100k,
"R3, R4",0402,2,5.1k,
R5,0402,1,2.4k,
"R6, R8",0402,2,10k,
R7,0402,1,100R,
"SW1, SW10, SW11, SW12, SW2, SW4, SW5, SW6, SW7, SW8, SW9",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,11,TS-1187A-B-A-B,C318884
SW3,SW_SPDT_Shouhan_MSK12C02,1,SW_SPST,
U1,XCVR_ESP32-S3-DEVKITC-1-N8R2,1,ESP32-S3-DEVKITC-1-N8R2,
U2,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
