Designator,Mid X,Mid Y,Rotation,Layer
BT1,148.95,-161.0,90.0,top
C1,65.5,-151.5,0.0,top
C2,147.0,-167.0,0.0,top
C3,126.52,-146.0,180.0,top
C4,143.0,-177.0,270.0,top
C5,126.05,-150.5,180.0,top
C6,121.05,-150.5,0.0,top
C7,121.05,-146.0,0.0,top
C8,149.0,-167.0,180.0,top
D1,135.515,-92.5,0.0,top
D2,142.015,-92.5,0.0,top
J1,150.0,-174.0,90.0,top
JDISPLAY1,70.0,-56.69,180.0,top
LS1,149.5,-151.995,0.0,top
Q1,142.9375,-138.45,180.0,top
R1,135.5,-94.5,0.0,top
R10,151.0,-167.0,0.0,top
R2,142.0,-95.5,0.0,top
R3,143.0,-175.0,180.0,top
R4,143.0,-172.5,180.0,top
R5,135.0,-168.5,180.0,top
R6,145.0,-167.0,180.0,top
R7,138.9375,-136.95,90.0,top
R8,138.9375,-139.96,90.0,top
R9,149.0,-165.5,0.0,top
SW1,73.5,-146.0,0.0,top
SW10,74.5,-113.5,0.0,top
SW11,144.0,-112.5,0.0,top
SW12,84.0,-113.0,0.0,top
SW2,83.5,-146.0,0.0,top
SW3,140.0,-149.0,90.0,top
SW4,84.0,-105.5,0.0,top
SW5,94.0,-113.0,0.0,top
SW6,84.0,-121.0,180.0,top
SW7,103.0,-137.5,0.0,top
SW8,132.0,-119.0,0.0,top
SW9,116.5,-137.5,0.0,top
U1,97.93,-165.93,90.0,top
U2,139.8,-169.2,270.0,top
U3,140.0,-160.5,0.0,top
